,X,biomarker_ID,main_Xref,assessed_biomarker_entity,biomarker_status,best_biomarker_type,specimen_type,loinc_code,condition_name,assessed_entity_type,evidence_source,notes,system,DOID,Names,rsID
37,31,,dbSNP:rs3181245,rs3181245 mutation in Tyrosyl-DNA phosphodiesterase 2 (TDP2) ,presence of,risk_biomarker,,, endometrial cancer (DOID:70271),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=TDP2,UPKB:I3QNV0|GRCh38 ,,70271,Tyrosyl-DNA phosphodiesterase 2,rs3181245
38,32,,dbSNP:rs9901225,rs9901225 mutation in Reticulophagy regulator 3 (RETREG3) ,presence of,risk_biomarker,,,colorectal (DOID:70271),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=RETREG3,UPKB:K7EQI9|GRCh38 ,,70271,Reticulophagy regulator 3,rs9901225
39,32,,dbSNP:rs9901225,rs9901225 mutation in Reticulophagy regulator 3 (RETREG3) ,presence of,risk_biomarker,,, endometrial cancer (DOID:70271),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=RETREG3,UPKB:K7EQI9|GRCh38 ,,70271,Reticulophagy regulator 3,rs9901225
40,33,,dbSNP:rs2052678,rs2052678 mutation in dolichyl-phosphate-mannose--protein mannosyltransferase (EC 2.4.1.109) (TMTC1) ,presence of,risk_biomarker,,,colorectal (DOID:70271),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=TMTC1,UPKB:F8VTQ9|GRCh38 ,,70271,dolichyl-phosphate-mannose--protein mannosyltransferase (EC 2.4.1.109),rs2052678
41,33,,dbSNP:rs2052678,rs2052678 mutation in dolichyl-phosphate-mannose--protein mannosyltransferase (EC 2.4.1.109) (TMTC1) ,presence of,risk_biomarker,,, endometrial cancer (DOID:70271),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=TMTC1,UPKB:F8VTQ9|GRCh38 ,,70271,dolichyl-phosphate-mannose--protein mannosyltransferase (EC 2.4.1.109),rs2052678
42,34,,dbSNP:rs34462569,rs34462569 mutation in  (CSRNP3 - GALNT3) ,presence of,risk_biomarker,,,colorectal (DOID:70271),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=CSRNP3 - GALNT3,GRCh38,,70271,,rs34462569
43,34,,dbSNP:rs34462569,rs34462569 mutation in  (CSRNP3 - GALNT3) ,presence of,risk_biomarker,,, endometrial cancer (DOID:70271),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=CSRNP3 - GALNT3,GRCh38,,70271,,rs34462569
44,35,,dbSNP:rs4727012,rs4727012 mutation in  (RNU6-650P - COX6B1P1) ,presence of,risk_biomarker,,,colorectal (DOID:70271),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=RNU6-650P - COX6B1P1,GRCh38,,70271,,rs4727012
45,35,,dbSNP:rs4727012,rs4727012 mutation in  (RNU6-650P - COX6B1P1) ,presence of,risk_biomarker,,, endometrial cancer (DOID:70271),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=RNU6-650P - COX6B1P1,GRCh38,,70271,,rs4727012
46,36,,dbSNP:rs112541862,rs112541862 mutation in  (FBP1 - AOPEP) ,presence of,risk_biomarker,,,colorectal (DOID:70271),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=FBP1 - AOPEP,GRCh38,,70271,,rs112541862
47,36,,dbSNP:rs112541862,rs112541862 mutation in  (FBP1 - AOPEP) ,presence of,risk_biomarker,,, endometrial cancer (DOID:70271),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=FBP1 - AOPEP,GRCh38,,70271,,rs112541862
48,37,,dbSNP:rs606460,rs606460 mutation in  (GDPD5 - SERPINH1) ,presence of,risk_biomarker,,,colorectal (DOID:70271),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=GDPD5 - SERPINH1,GRCh38,,70271,,rs606460
49,37,,dbSNP:rs606460,rs606460 mutation in  (GDPD5 - SERPINH1) ,presence of,risk_biomarker,,, endometrial cancer (DOID:70271),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=GDPD5 - SERPINH1,GRCh38,,70271,,rs606460
50,38,,dbSNP:rs11607499,rs11607499 mutation in  (MIR4300HG) ,presence of,risk_biomarker,,,colorectal (DOID:70271),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=MIR4300HG,GRCh38,,70271,,rs11607499
51,38,,dbSNP:rs11607499,rs11607499 mutation in  (MIR4300HG) ,presence of,risk_biomarker,,, endometrial cancer (DOID:70271),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=MIR4300HG,GRCh38,,70271,,rs11607499
52,39,,dbSNP:rs12817211,rs12817211 mutation in LIM domain and actin-binding protein 1 (LIMA1) ,presence of,risk_biomarker,,,colorectal (DOID:70271),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=LIMA1,UPKB:F8VQE1|GRCh38 ,,70271,LIM domain and actin-binding protein 1,rs12817211
53,39,,dbSNP:rs12817211,rs12817211 mutation in LIM domain and actin-binding protein 1 (LIMA1) ,presence of,risk_biomarker,,, endometrial cancer (DOID:70271),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=LIMA1,UPKB:F8VQE1|GRCh38 ,,70271,LIM domain and actin-binding protein 1,rs12817211
54,40,,dbSNP:rs11150038,rs11150038 mutation in C-type lectin domain family 3 member A (CLEC3A) ,presence of,risk_biomarker,,,colorectal (DOID:70271),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=CLEC3A,UPKB:H3BTK1|GRCh38 ,,70271,C-type lectin domain family 3 member A,rs11150038
55,40,,dbSNP:rs11150038,rs11150038 mutation in C-type lectin domain family 3 member A (CLEC3A) ,presence of,risk_biomarker,,, endometrial cancer (DOID:70271),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=CLEC3A,UPKB:H3BTK1|GRCh38 ,,70271,C-type lectin domain family 3 member A,rs11150038
56,41,,dbSNP:rs4816890,rs4816890 mutation in  (NA - MIR6130) ,presence of,risk_biomarker,,,colorectal (DOID:70271),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=NA - MIR6130,GRCh38,,70271,,rs4816890
57,41,,dbSNP:rs4816890,rs4816890 mutation in  (NA - MIR6130) ,presence of,risk_biomarker,,, endometrial cancer (DOID:70271),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=NA - MIR6130,GRCh38,,70271,,rs4816890
58,42,,dbSNP:rs10457678,rs10457678 mutation in ECT2L (ECT2L) ,presence of,risk_biomarker,,,colorectal (DOID:70271),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=ECT2L,UPKB:A0A2X0SFI5|GRCh38 ,,70271,ECT2L,rs10457678
59,42,,dbSNP:rs10457678,rs10457678 mutation in ECT2L (ECT2L) ,presence of,risk_biomarker,,, endometrial cancer (DOID:70271),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=ECT2L,UPKB:A0A2X0SFI5|GRCh38 ,,70271,ECT2L,rs10457678
60,43,,dbSNP:rs17035310,rs17035310 mutation in  (NA - TET2) ,presence of,risk_biomarker,,,colorectal (DOID:70271),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=NA - TET2,GRCh38,,70271,,rs17035310
61,43,,dbSNP:rs17035310,rs17035310 mutation in  (NA - TET2) ,presence of,risk_biomarker,,, endometrial cancer (DOID:70271),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=NA - TET2,GRCh38,,70271,,rs17035310
62,44,,dbSNP:rs3184504,rs3184504 mutation in Ataxin-2 (ATXN2) ,presence of,risk_biomarker,,,colorectal (DOID:70271),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=ATXN2,UPKB:F8VQP2|GRCh38 ,,70271,Ataxin-2,rs3184504
63,44,,dbSNP:rs3184504,rs3184504 mutation in Ataxin-2 (ATXN2) ,presence of,risk_biomarker,,, endometrial cancer (DOID:70271),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=ATXN2,UPKB:F8VQP2|GRCh38 ,,70271,Ataxin-2,rs3184504
64,45,,dbSNP:rs3184504,rs3184504 mutation in SH2B adapter protein 3 ( SH2B3) ,presence of,risk_biomarker,,,colorectal (DOID:70271),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query= SH2B3,UPKB:F5GYM4|GRCh38 ,,70271,SH2B adapter protein 3,rs3184504
65,45,,dbSNP:rs3184504,rs3184504 mutation in SH2B adapter protein 3 ( SH2B3) ,presence of,risk_biomarker,,, endometrial cancer (DOID:70271),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query= SH2B3,UPKB:F5GYM4|GRCh38 ,,70271,SH2B adapter protein 3,rs3184504
66,46,,dbSNP:rs10217586,rs10217586 mutation in  (CDKN2B-AS1) ,presence of,risk_biomarker,,,colorectal (DOID:70271),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=CDKN2B-AS1,GRCh38,,70271,,rs10217586
67,46,,dbSNP:rs10217586,rs10217586 mutation in  (CDKN2B-AS1) ,presence of,risk_biomarker,,, endometrial cancer (DOID:70271),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=CDKN2B-AS1,GRCh38,,70271,,rs10217586
68,47,,dbSNP:rs4853036,rs4853036 mutation in  (GMCL1) ,presence of,risk_biomarker,,,colorectal (DOID:70271),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=GMCL1,UPKB:Q96IK5|GRCh38 ,,70271,,rs4853036
69,47,,dbSNP:rs4853036,rs4853036 mutation in  (GMCL1) ,presence of,risk_biomarker,,, endometrial cancer (DOID:70271),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=GMCL1,UPKB:Q96IK5|GRCh38 ,,70271,,rs4853036
70,48,,dbSNP:rs4789378,"rs4789378 mutation in alpha-1,6-mannosyl-glycoprotein 6-beta-N-acetylglucosaminyltransferase (EC 2.4.1.155) (MGAT5B) ",presence of,risk_biomarker,,,colorectal (DOID:70271),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=MGAT5B,UPKB:H3BQ65|GRCh38 ,,70271,"alpha-1,6-mannosyl-glycoprotein 6-beta-N-acetylglucosaminyltransferase (EC 2.4.1.155)",rs4789378
71,48,,dbSNP:rs4789378,"rs4789378 mutation in alpha-1,6-mannosyl-glycoprotein 6-beta-N-acetylglucosaminyltransferase (EC 2.4.1.155) (MGAT5B) ",presence of,risk_biomarker,,, endometrial cancer (DOID:70271),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=MGAT5B,UPKB:H3BQ65|GRCh38 ,,70271,"alpha-1,6-mannosyl-glycoprotein 6-beta-N-acetylglucosaminyltransferase (EC 2.4.1.155)",rs4789378
72,49,,dbSNP:rs12446552,rs12446552 mutation in Lipopolysaccharide-induced tumor necrosis factor-alpha factor (LITAF) ,presence of,risk_biomarker,blood (UN:0000178),38902-3,colorectal (DOID:70271),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=LITAF,UPKB:I3L1I9|GRCh38 ,Bld/Tiss,70271,Lipopolysaccharide-induced tumor necrosis factor-alpha factor,rs12446552
73,49,,dbSNP:rs12446552,rs12446552 mutation in Lipopolysaccharide-induced tumor necrosis factor-alpha factor (LITAF) ,presence of,risk_biomarker,blood (UN:0000178),38902-3, endometrial cancer (DOID:70271),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=LITAF,UPKB:I3L1I9|GRCh38 ,Bld/Tiss,70271,Lipopolysaccharide-induced tumor necrosis factor-alpha factor,rs12446552
74,50,,dbSNP:rs4378954,rs4378954 mutation in Limbic system-associated membrane protein (LSAMP) ,presence of,risk_biomarker,,,colorectal (DOID:70271),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=LSAMP,UPKB:C9J5G3|GRCh38 ,,70271,Limbic system-associated membrane protein,rs4378954
75,50,,dbSNP:rs4378954,rs4378954 mutation in Limbic system-associated membrane protein (LSAMP) ,presence of,risk_biomarker,,, endometrial cancer (DOID:70271),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=LSAMP,UPKB:C9J5G3|GRCh38 ,,70271,Limbic system-associated membrane protein,rs4378954
76,51,,dbSNP:rs1952157,rs1952157 mutation in Neuronal PAS domain-containing protein 3 (NPAS3) ,presence of,risk_biomarker,,,colorectal (DOID:70271),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=NPAS3,UPKB:F8VR32|GRCh38 ,,70271,Neuronal PAS domain-containing protein 3,rs1952157
77,51,,dbSNP:rs1952157,rs1952157 mutation in Neuronal PAS domain-containing protein 3 (NPAS3) ,presence of,risk_biomarker,,, endometrial cancer (DOID:70271),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=NPAS3,UPKB:F8VR32|GRCh38 ,,70271,Neuronal PAS domain-containing protein 3,rs1952157
78,52,,dbSNP:rs76525880,rs76525880 mutation in  (HOXB1 - HOXB2) ,presence of,risk_biomarker,,,colorectal (DOID:70271),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=HOXB1 - HOXB2,GRCh38,,70271,,rs76525880
79,52,,dbSNP:rs76525880,rs76525880 mutation in  (HOXB1 - HOXB2) ,presence of,risk_biomarker,,, endometrial cancer (DOID:70271),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=HOXB1 - HOXB2,GRCh38,,70271,,rs76525880
80,53,,dbSNP:rs12970291,rs12970291 mutation in  (TSHZ1 - NA) ,presence of,risk_biomarker,,,colorectal (DOID:70271),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=TSHZ1 - NA,GRCh38,,70271,,rs12970291
81,53,,dbSNP:rs12970291,rs12970291 mutation in  (TSHZ1 - NA) ,presence of,risk_biomarker,,, endometrial cancer (DOID:70271),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=TSHZ1 - NA,GRCh38,,70271,,rs12970291
82,54,,dbSNP:rs4245739,rs4245739 mutation in Protein Mdm4 (MDM4) ,presence of,risk_biomarker,,,breast cancer (DOID:1612),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=MDM4,UPKB:A0A087WZ58|GRCh38 ,,1612,Protein Mdm4,rs4245739
83,55,,dbSNP:rs12710696,rs12710696 mutation in  (LINC01376) ,presence of,risk_biomarker,,,breast cancer (DOID:1612),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=LINC01376,GRCh38,,1612,,rs12710696
84,56,,dbSNP:rs2242652,rs2242652 mutation in Telomerase reverse transcriptase (EC 2.7.7.49) (Telomerase catalytic subunit) (TERT) ,presence of,risk_biomarker,tissue (UN:0000479),95778-7,breast cancer (DOID:1612),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=TERT,UPKB:F6MZ67|GRCh38 ,Tiss,1612,Telomerase reverse transcriptase (EC 2.7.7.49) (Telomerase catalytic subunit),rs2242652
85,57,,dbSNP:rs7726159,rs7726159 mutation in Telomerase reverse transcriptase (EC 2.7.7.49) (Telomerase catalytic subunit) (TERT) ,presence of,risk_biomarker,tissue (UN:0000479),95778-7,breast cancer (DOID:1612),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=TERT,UPKB:F6MZ67|GRCh38 ,Tiss,1612,Telomerase reverse transcriptase (EC 2.7.7.49) (Telomerase catalytic subunit),rs7726159
86,58,,dbSNP:rs2736108,rs2736108 mutation in  (TERT - MIR4457) ,presence of,risk_biomarker,,,breast cancer (DOID:1612),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=TERT - MIR4457,GRCh38,,1612,,rs2736108
